"CompanyName","AB Sveriges Säkerställda Obligationer (publ)","Sveriges Säkerställda Obligationer (publ)"
"CompanyName","Jula Sverige AB","Jula Sverige"
"CompanyName","Capgemini Sverige AB","Capgemini Sverige"
"CompanyName","Telia Nättjänster Norden AB","Telia Nättjänster Norden"
"CompanyName","DSV Road AB","DSV Road"
"CompanyName","Gunnebo Aktiebolag","Gunnebo"
"CompanyName","H & M Hennes & Mauritz Sverige AB","H & M Hennes & Mauritz Sverige"
"CompanyName","Vattenfall Services Nordic AB","Vattenfall Services Nordic"
"CompanyName","Peas Industries AB","Peas Industries"
"CompanyName","Byr AB","Byr"
"CompanyName","Rexel Sverige AB","Rexel Sverige"
"CompanyName","Swedish Match North Europe AB","Swedish Match North Europe"
"CompanyName","Sinch Sweden AB","Sinch Sweden"
"CompanyName","AddLife AB","AddLife"
"CompanyName","ITAB Shop Concept AB","ITAB Shop Concept"
"CompanyName","NLTG Holdco AB","NLTG Holdco"
"CompanyName","Nordic Leisure Travel Group Holdings AB","Nordic Leisure Travel Group Holdings"
"CompanyName","Advania AB","Advania"
"CompanyName","Securitas Sverige Aktiebolag","Securitas Sverige"
"CompanyName","Danderyds Sjukhus AB","Danderyds Sjukhus"
"CompanyName","OX2 AB (publ)","OX2  (publ)"
"CompanyName","Sinch AB (publ)","Sinch  (publ)"
"CompanyName","Dolby International AB","Dolby International"
"CompanyName","Tekniska verken i Linköping AB (publ)","Tekniska verken i Linköping  (publ)"
"CompanyName","Essity Treasury AB","Essity Treasury"
"CompanyName","CGI Sverige AB","CGI Sverige"
"CompanyName","Bombardier Transportation Sweden AB","Bombardier Transportation Sweden"
"CompanyName","Dustin Aktiebolag","Dustin"
"CompanyName","WSP Sverige AB","WSP Sverige"
"CompanyName","AB Karl Hedin","Karl Hedin"
"CompanyName","Heimstaden AB","Heimstaden"
"CompanyName","Nefab Holding AB","Nefab Holding"
"CompanyName","Upplands Motor Holding AB","Upplands Motor Holding"
"CompanyName","Nouryon Pulp and Performance Chemicals AB","Nouryon Pulp and Performance Chemicals"
"CompanyName","Willhem AB (publ)","Willhem  (publ)"
"CompanyName","Telia Carrier AB","Telia Carrier"
"CompanyName","Dustin Sverige AB","Dustin Sverige"
"CompanyName","Aktiebolaget Svensk Exportkredit","Svensk Exportkredit"
"CompanyName","Swerock Aktiebolag","Swerock"
"CompanyName","Keolis Sverige AB","Keolis Sverige"
"CompanyName","QlikTech International AB","QlikTech International"
"CompanyName","Åhléns AB","Åhléns"
"CompanyName","Trioworld Holding AB","Trioworld Holding"
"CompanyName","Erlandsson Holding AB","Erlandsson Holding"
"CompanyName","AQ Group AB","AQ Group"
"CompanyName","Skanova Aktiebolag","Skanova"
"CompanyName","Adient Sweden AB","Adient Sweden"
"CompanyName","Östersunds Rådhus Aktiebolag","Östersunds Rådhus"
"CompanyName","HP PPS Sverige AB","HP PPS Sverige"
"CompanyName","Sigma Aktiebolag","Sigma"
"CompanyName","IBM Svenska Aktiebolag","IBM Svenska"
"CompanyName","PricewaterhouseCoopers i Sverige AB","PricewaterhouseCoopers i Sverige"
"CompanyName","Scandagra Group AB","Scandagra Group"
"CompanyName","Öhrlings PricewaterhouseCoopers AB","Öhrlings PricewaterhouseCoopers"
"CompanyName","FUDTI Holding AB","FUDTI Holding"
"CompanyName","Volvo Bil i Göteborg AB","Volvo Bil i Göteborg"
"CompanyName","Söderberg & Partners Holding AB","Söderberg & Partners Holding"
"CompanyName","Sveriges Television Aktiebolag","Sveriges Television"
"CompanyName","Sydkraft Nuclear Power AB","Sydkraft Nuclear Power"
"CompanyName","Skanska Industrial Solutions AB","Skanska Industrial Solutions"
"CompanyName","SCA Munksund AB","SCA Munksund"
"CompanyName","Lenovo (Sweden) AB","Lenovo (Sweden)"
"CompanyName","Dell Aktiebolag","Dell"
"CompanyName","Saab Dynamics Aktiebolag","Saab Dynamics"
"CompanyName","Fortex International AB","Fortex International"
"CompanyName","Midasplayer AB","Midasplayer"
"CompanyName","Ernst & Young Aktiebolag","Ernst & Young"
"CompanyName","Ernst & Young Sweden AB","Ernst & Young Sweden"
"CompanyName","Ferronordic AB","Ferronordic"
"CompanyName","Jämtkraft Aktiebolag","Jämtkraft"
"CompanyName","KappAhl Sverige AB","KappAhl Sverige"
"CompanyName","Renault Nordic Aktiebolag","Renault Nordic"
"CompanyName","Fairford Holdings Europe AB","Fairford Holdings Europe"
"CompanyName","Greencarrier Holding AB","Greencarrier Holding"
"CompanyName","Quickbit eu AB (publ)","Quickbit eu  (publ)"
"CompanyName","Duni AB","Duni"
"CompanyName","BDX Företagen AB","BDX Företagen"
"CompanyName","BEWiSynbra Group AB (publ)","BEWiSynbra Group  (publ)"
"CompanyName","Mojang AB","Mojang"
"CompanyName","Nordic Leisure Travel Group AB","Nordic Leisure Travel Group"
"CompanyName","Hiab AB","Hiab"
"CompanyName","Holmgren Group AB","Holmgren Group"
"CompanyName","Holmgrens Bil AB","Holmgrens Bil"
"CompanyName","Accenture AB","Accenture"
"CompanyName","Aktiebolaget 20210310 i Borås","20210310 i Borås"
"CompanyName","Pfizer Health AB","Pfizer Health"
"CompanyName","Smurfit Kappa Kraftliner Piteå Aktiebolag","Smurfit Kappa Kraftliner Piteå"
"CompanyName","JYSK AB","JYSK"
"CompanyName","Möller Bil Sverige AB","Möller Bil Sverige"
"CompanyName","Attendo Sverige AB","Attendo Sverige"
"CompanyName","Ingram Micro AB","Ingram Micro"
"CompanyName","Fresenius Kabi AB","Fresenius Kabi"
"CompanyName","Heimstaden Bostad AB","Heimstaden Bostad"
"CompanyName","SVF Eskil AB","SVF Eskil"
"CompanyName","Perstorp Oxo AB","Perstorp Oxo"
"CompanyName","Braganza AB","Braganza"
"CompanyName","Elof Hansson Trade AB","Elof Hansson Trade"
"CompanyName","Helsingborgs Stads Förvaltning AB","Helsingborgs Stads Förvaltning"
"CompanyName","Modity Energy Trading AB","Modity Energy Trading"
"CompanyName","HCL Technologies Sweden AB","HCL Technologies Sweden"
"CompanyName","Skellefteå Stadshus Aktiebolag","Skellefteå Stadshus"
"CompanyName","Everfresh AB","Everfresh"
"CompanyName","Nordex Sverige AB","Nordex Sverige"
"CompanyName","Greenfood TC AB","Greenfood TC"
"CompanyName","NIBE Aktiebolag","NIBE"
"CompanyName","Tata Consultancy Services Sverige Aktiebolag","Tata Consultancy Services Sverige"
"CompanyName","Thule Sweden AB","Thule Sweden"
"CompanyName","Veoneer Sweden AB","Veoneer Sweden"
"CompanyName","Sobro AB","Sobro"
"CompanyName","Modern Times Group MTG AB","Modern Times Group MTG"
"CompanyName","Ovako Sweden AB","Ovako Sweden"
"CompanyName","COOR Service Management Aktiebolag","COOR Service Management"
"CompanyName","China-Euro Vehicle Technology Aktiebolag","China-Euro Vehicle Technology"
"CompanyName","Derome Byggvaror & Träteknik Aktiebolag","Derome Byggvaror & Träteknik"
"CompanyName","Caverion Sverige AB","Caverion Sverige"
"CompanyName","Vida Wood AB","Vida Wood"
